2025-07-24 00:02:58.002 [http-nio-8080-exec-9] INFO  [dc139645] com.lulu.logging.AuditLoggingFilter - RESPONSE [dc139645] GET /api/products/6 responded 200 in 4 ms
2025-07-24 00:02:58.003 [http-nio-8080-exec-9] INFO  [dc139645] AUDIT - AUDIT_RESPONSE [dc139645] GET /api/products/6 | Status: 200 | Duration: 4 ms
2025-07-24 00:02:58.008 [http-nio-8080-exec-6] INFO  [775e5a13] com.lulu.logging.AuditLoggingFilter - REQUEST [775e5a13] GET /api/reviews/product/6
2025-07-24 00:02:58.011 [http-nio-8080-exec-6] WARN  [775e5a13] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [775e5a13] GET /api/reviews/product/6 responded 404 in 3 ms
2025-07-24 00:02:58.819 [http-nio-8080-exec-5] INFO  [651505c6] com.lulu.logging.AuditLoggingFilter - REQUEST [651505c6] GET /api/products/1
2025-07-24 00:02:58.819 [http-nio-8080-exec-5] INFO  [651505c6] AUDIT - AUDIT_REQUEST [651505c6] GET /api/products/1 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:58.825 [http-nio-8080-exec-5] INFO  [651505c6] com.lulu.logging.AuditLoggingFilter - RESPONSE [651505c6] GET /api/products/1 responded 200 in 6 ms
2025-07-24 00:02:58.825 [http-nio-8080-exec-5] INFO  [651505c6] AUDIT - AUDIT_RESPONSE [651505c6] GET /api/products/1 | Status: 200 | Duration: 6 ms
2025-07-24 00:02:58.826 [http-nio-8080-exec-8] INFO  [e2fff569] com.lulu.logging.AuditLoggingFilter - REQUEST [e2fff569] GET /api/reviews/product/1
2025-07-24 00:02:58.828 [http-nio-8080-exec-8] WARN  [e2fff569] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [e2fff569] GET /api/reviews/product/1 responded 404 in 2 ms
2025-07-24 00:02:59.409 [http-nio-8080-exec-7] INFO  [5aa038ef] com.lulu.logging.AuditLoggingFilter - REQUEST [5aa038ef] GET /api/products/8
2025-07-24 00:02:59.409 [http-nio-8080-exec-7] INFO  [5aa038ef] AUDIT - AUDIT_REQUEST [5aa038ef] GET /api/products/8 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:59.413 [http-nio-8080-exec-7] INFO  [5aa038ef] com.lulu.logging.AuditLoggingFilter - RESPONSE [5aa038ef] GET /api/products/8 responded 200 in 4 ms
2025-07-24 00:02:59.413 [http-nio-8080-exec-7] INFO  [5aa038ef] AUDIT - AUDIT_RESPONSE [5aa038ef] GET /api/products/8 | Status: 200 | Duration: 4 ms
2025-07-24 00:02:59.417 [http-nio-8080-exec-10] INFO  [58286b12] com.lulu.logging.AuditLoggingFilter - REQUEST [58286b12] GET /api/reviews/product/8
